stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station
1014,1014,"Hwy 99 & 230th St SW",47.790824,-122.337853,0,
1015,1015,"Hwy 99 & 234th St SW",47.788522,-122.339538,0,
1018,1018,"Hwy 99 & 180th St SW",47.834840,-122.303063,0,
1020,1020,"Hwy 99 & Lincoln Way",47.874097,-122.272475,0,
1021,1021,"Hwy 99 & N Manor Way",47.880619,-122.266413,0,
1022,1022,"Hwy 99 & 76th Ave W",47.794913,-122.334917,0,
1023,1023,"Hwy 99 & 240th St SW",47.781240,-122.344886,0,
1024,1024,"Hwy 99 & Gibson Rd",47.882826,-122.264326,0,
1027,1027,"State Ave & 7th St",48.055033,-122.176839,0,
1028,1028,"State Ave & 76th St NE",48.065424,-122.176761,0,
1029,1029,"State Ave & 80th St NE",48.068896,-122.176790,0,
1030,1030,"State Ave & 84th St NE",48.072256,-122.176394,0,
1032,1032,"State Ave & 92nd St NE",48.079634,-122.174689,0,
1035,1035,"State Ave & 10th St",48.057483,-122.176812,0,
1039,1039,"Village Green Dr & 21st Dr SE",47.866336,-122.204637,0,
1040,1040,"Village Green Dr & Trillium Blvd SE",47.867290,-122.207934,0,
1044,1044,"Village Green Dr & 28th Dr SE",47.863775,-122.194622,0,
1045,1045,"Village Green Dr & 27th Dr SE",47.864994,-122.196191,0,
1054,1054,"100th Ave W & 232nd St SW",47.787590,-122.366874,0,
1058,1058,"100th Ave W & 238th St SW",47.784029,-122.366544,0,
1070,1070,"179th Ave SE & Stanton St SE",47.860081,-121.990757,0,
1085,1085,"23rd Ave SE & 168th St SE",47.845338,-122.201959,0,
1087,1087,"23rd Ave SE & 171st Pl SE",47.842551,-122.201916,0,
1093,1093,"3rd Ave N & Edmonds St",47.813176,-122.378235,0,
1095,1095,"3rd Ave N & 4th Ave N",47.814813,-122.376883,0,
1096,1096,"3rd Ave N & Sater Ln",47.816726,-122.375290,0,
1098,1098,"35th Ave W & 156th St SW",47.856994,-122.280441,0,
1099,1099,"35th Ave SE & 156th St SE",47.855744,-122.187076,0,
1100,1100,"35th Ave SE & 164th St SE",47.848274,-122.186555,0,
1102,1102,"36th Ave W & 167th Pl SW",47.846402,-122.281982,0,
1103,1103,"36th Ave W & 173rd Pl SW",47.841861,-122.281918,0,
1104,1104,"36th Ave W & 176th Pl SW",47.838418,-122.281912,0,
1107,1107,"36th Ave W & 180th Pl SW",47.834936,-122.281854,0,
1110,1110,"39th Ave SE & 243rd Pl SE",47.777645,-122.180515,0,
